SYNONYM	KEY(TermID)
rostral migratory pathway	[UBERON_0008881, birnlex_1702]
second lumbar spinal cord segment	[UBERON_0006450, birnlex_1345]
maturing face	[GO_0005802, sao1039242387, sao9456487]
 stator stalk	[GO_0045265, GO_0045266]
dysthymia	[DOID_12139, birnlex_12759]
zea-epoxidase activity	[GO_0052662, GO_0009540]
hypoglossal nerve tree	[UBERON_0001650, birnlex_820]
pyramidal layer of hippocampus	[UBERON_0002313, birnlex_1444]
GZMB/iso:1/SigPep-	[PR_000026611, PR_000026713]
FMA_226221	[NEMO_1873000, NEMO_1657000]
velum medullare superius	[UBERON_0002659, birnlex_1300]
low affinity Fc receptor activity	[GO_0019772, GO_0019769]
stirnorgan	[UBERON_0001905, birnlex_1184, nlx_anat_1010009]
Oprk1	[nifext_5668, nifext_5665]
retinal inner plexiform layer	[UBERON_0001795, nlx_anat_1005032]
maxi K+ channel	[nifext_2853, PR_000001849]
peripheral astrocyte process	[GO_0097449, sao1630537580]
stage IV nephron	[UBERON_0007654, UBERON_0005322]
tractus solitarius medullae oblongatae	[UBERON_0002718, birnlex_1483]
posterior trigeminothalamic tract	[UBERON_0002797, birnlex_1718]
Memapsin-2	[nlx_mol_20090203, nlx_mol_090905]
TGFBR1 inactive	[PR_000000522, PR_000003173]
copula	[UBERON_0010034, UBERON_2001220]
cortex of cerebral hemisphere	[birnlex_1494, UBERON_0000956]
nucleus of Roller	[UBERON_0002881, birnlex_2657]
forefoot	[UBERON_0002398, nlx_anat_20090603]
Body of Luys	[UBERON_0001906, nlx_anat_1010002]
 sensory detection of mechanical stimulus	[GO_0050973, GO_0050910, GO_0071066]
triangular nucleus septum (Cajal)	[UBERON_0002977, birnlex_816]
 activation of MAPK activity	[GO_0000199, GO_0071508, GO_0000169]
4-GalNAc transferase activity	[GO_0033207, GO_0035248]
Post-infectious polyneuritis (disorder)	[DOID_12842, birnlex_12554]
neural ganglion	[nlx_anat_100302, UBERON_0000045]
motor nucleus VII	[UBERON_0003011, birnlex_903]
anterior calcarine fissure	[UBERON_0002582, birnlex_1072]
CPSB	[PR_000006023, PR_000006029]
caspase activity	[GO_0004197, GO_0097153]
perirenal fat pad	[UBERON_0005406, UBERON_0014464]
Area opercularis	[birnlex_1776, UBERON_0006481]
Lemniscus medial	[birnlex_887, UBERON_0003002]
zygote formation	[GO_0000755, GO_0007338]
 mating-type specific	[GO_0045894, GO_0045895, GO_0001197, GO_0001198]
channel-forming toxin activity	[GO_0009405, GO_0015267, GO_0046930]
radiate layer of hippocampus	[birnlex_1298, UBERON_0005372]
regio ii hippocampi proprii	[UBERON_0003882, birnlex_1362]
Area frontalis media	[birnlex_1778, UBERON_0006483]
fasciculus medialis telencephali	[UBERON_0001910, birnlex_908]
CNGB1	[PR_000005632, nifext_3054]
lingual gustatory epithelium	[UBERON_0014452, birnlex_4099]
spinal cord part	[UBERON_0001948, birnlex_1496]
cell wall assembly	[GO_0009832, GO_0042546]
uCD14	[PR_000002147, PR_000002146]
 with other acceptors	[GO_0046992, GO_0030613]
dorsal cap of kooy	[UBERON_0014286, nlx_anat_100307]
caudate nuclear tail	[UBERON_0002628, birnlex_1215]
filiform nucleus	[UBERON_0001930, birnlex_1407]
Brodmann partition scheme	[birnlex_1731, UBERON_0013529]
cerebellar posterior vermis lobule IX	[UBERON_0004078, nlx_anat_20081234]
sulcus rostralis superior	[birnlex_1143, UBERON_0002607]
Hereditary Retinoblastoma	[birnlex_12636, DOID_4648]
Mc5r	[nifext_6053, nifext_6050]
lateral gray horn	[UBERON_0004676, birnlex_2666]
Sulcus orbitalis	[birnlex_1112, UBERON_0002595]
sulcus of rolando	[UBERON_0002916, birnlex_4035]
chiasmal zone	[UBERON_0002550, birnlex_1005]
rough ER	[sao1881364067, GO_0005791]
CRP3	[PR_000005875, PR_000005961]
segment of cerebellar white matter	[UBERON_0003035, birnlex_959]
Mc2r	[nifext_6022, nifext_6018]
Mc4r	[nifext_7052, nifext_7049]
Anterior Cerebral Artery Syndrome	[birnlex_12792, DOID_3528]
CUL1	[PR_000000092, PR_000027962]
nucleus gigantocellularis	[nlx_anat_1005001, UBERON_0002155]
chiasma opticum	[UBERON_0000959, birnlex_1416]
mesencephalic trigeminal tract	[birnlex_1318, UBERON_0002666]
L4 spinal cord segment	[birnlex_1352, UBERON_0006451]
epithelial calcium channel 1	[nifext_3122, PR_000000776]
gamma-H2A (fission yeast)	[PR_000027564, PR_000027551]
 meiotic	[GO_0010672, GO_0051037, GO_0010674, GO_0010673]
Acquired Neuromyotonia	[birnlex_12588, DOID_963]
C motif chemokine 1	[PR_000002140, nifext_5066]
parietal cortex	[birnlex_1148, UBERON_0001872]
coenzyme and prosthetic group metabolic process	[GO_0051189, GO_0006732]
 parvocellular part	[UBERON_0002938, birnlex_725]
cytoarchitectural part of olfactory bulb	[UBERON_0004001, nlx_anat_20090402]
MIP3A	[PR_000001992, nifext_5048]
 nucleotide and nucleic acid transport	[GO_0032241, GO_0032239, GO_0032240, GO_0015931]
Gerstmann-Straussler Inherited Spongiform Encephalopathy	[DOID_4249, birnlex_12691]
extrastriate areas	[UBERON_0014370, nlx_anat_200905010]
astrocyte endfoot	[GO_0097450, sao388182739]
ganglionic layer	[UBERON_0005394, nlx_anat_090811]
arachnoidea mater et pia mater	[nlx_anat_090207, UBERON_0000391]
olfactory radiations of zuckerkandl	[UBERON_0002741, birnlex_1551]
Acquired Epileptic Aphasia	[DOID_2538, birnlex_12747]
tail portion	[GO_1990018, sao1749953771]
 magnocellular part	[birnlex_720, UBERON_0002936]
ethmoid	[UBERON_0011238, UBERON_0001679]
trigonum olfactorium	[birnlex_4042, UBERON_0002922]
GPBAR1	[PR_000001110, nifext_5903]
adult head	[birnlex_1230, UBERON_0000033]
third sacral spinal ganglion	[birnlex_2630, UBERON_0002862]
B09-7	[NEMO_0076000, UBERON_0013538, birnlex_1738]
caudate nuclear head	[UBERON_0002626, birnlex_1212]
 gamma-delta intraepithelial T-cell differentiation	[GO_0002306, GO_0002305]
NAP1	[PR_000004532, PR_000011035]
segment part of cervical spinal cord	[UBERON_0007714, birnlex_1688]
Brs3	[nifext_5653, nifext_5657]
Panic Attack	[birnlex_12676, DOID_594]
NET1	[PR_000015190, PR_000011142, PR_000015186]
fifth thoracic spinal ganglion	[birnlex_2615, UBERON_0002848]
lobulus ansiform crus II	[UBERON_0005976, nlx_anat_20081209]
 translocation	[GO_0033159, GO_0000060, GO_0033160, GO_0033158]
adult ganglioglioma	[DOID_5078, birnlex_12624]
mesocoracoideum	[UBERON_2001537, UBERON_2000239]
Scintillation counter	[birnlex_2453, OBI_0001070]
ethanol dehydrogenase (cytochrome c) activity	[GO_0052931, GO_0052935]
17-dione secretion	[GO_2000837, GO_2000838, GO_0035941, GO_2000839]
nucleus of abducens nerve	[UBERON_0002682, birnlex_1366]
tegmentum	[UBERON_0001943, birnlex_1200]
middle temporal area	[nlx_anat_20090308, UBERON_0004685]
phloem loading	[GO_0090408, GO_0009915]
body	[UBERON_0000468, UBERON_0013702, birnlex_18]
polus temporalis	[birnlex_1055, UBERON_0002576]
cuticular attachment to epithelium	[GO_0040004, GO_0040005]
Supradin	[DB00668, OBI_0000610]
mitochondrial stroma	[sao1804523077, GO_0005759]
pretectal olivary nucleus	[UBERON_0002565, birnlex_1037]
ascending limb of the inferior temporal sulcus	[birnlex_4023, UBERON_0002906]
anterior meningeal arteries	[UBERON_0012318, UBERON_0010251]
fissura intercruralis cerebelli	[nlx_anat_20081255, UBERON_0002815]
first thoracic dorsal root ganglion	[UBERON_0002845, birnlex_2611]
D001611	[NEMO_6120000, NEMO_2767000]
sulcus hippocampi	[UBERON_0002899, birnlex_4004]
TCA cycle enzyme complex	[GO_0045246, GO_0045239, GO_0030062]
lateral nucleus of amygdala	[birnlex_2687, UBERON_0002886]
nuclei periolivares	[UBERON_0002971, birnlex_804]
bone	[UBERON_0001474, UBERON_0002481]
tecto-bulbar tract	[UBERON_0002164, birnlex_750]
CCR10	[nifext_7587, nifext_7589]
 soma encoded	[GO_0007313, GO_0008071]
cerebral ventricle	[UBERON_0004086, birnlex_1356]
outer mitochondrial membrane	[GO_0005741, sao1289741256]
central artery of retina	[UBERON_0002270, UBERON_0001620]
neurofibromatosis type 1	[DOID_8712, birnlex_12605]
organum subfornicale	[nlx_anat_100314, UBERON_0002219]
4-dioxygenase activity	[GO_0047078, GO_0050586]
2-monooxygenase activity	[GO_0018635, GO_0047799, GO_0018667]
somatic portion	[sao401910342, GO_1990017]
TPCN1	[nifext_3212, PR_000016570]
brodmann (1909) area 30	[UBERON_0006474, birnlex_1764]
trigeminal nerve fibers	[UBERON_0003041, birnlex_974]
brodmann (1909) area 11	[UBERON_0013528, birnlex_1742]
brodmann (1909) area 14	[UBERON_0013545, birnlex_1745]
brodmann (1909) area 16	[UBERON_0013547, birnlex_1747]
diagonal band subdivision	[nlx_anat_20090302, UBERON_0006125]
Gpr88	[nifext_6146, nifext_6149]
Gpr87	[nifext_7857, nifext_7860]
Gpr84	[nifext_6561, nifext_6558]
Gpr83	[nifext_7219, nifext_7216]
Baillarger Syndrome	[birnlex_12587, DOID_11599]
Gpr61	[nifext_5887, nifext_5884]
Gpr73	[nifext_6946, nifext_6949]
bundle of Turck	[UBERON_0002760, birnlex_1618]
Gpr18	[nifext_7198, nifext_7201]
Gpr19	[nifext_6459, nifext_6455]
Gpr40	[nifext_7690, nifext_7687]
Gpr49	[nifext_7239, nifext_7236]
Gpr50	[nifext_6884, nifext_6887]
P2ry6	[nifext_7496, nifext_7499]
Benign Childhood Epilepsy With Centro-Temporal Spikes	[DOID_3329, birnlex_12732]
Gpr31	[nifext_7070, nifext_7072]
Gpr33	[nifext_7365, nifext_7362]
Pyknolepsy	[birnlex_12742, DOID_1825]
 sensory transduction of chemical stimulus	[GO_0001582, GO_0050912, GO_0050969, GO_0050911]
Chinese hamster	[birnlex_680, NCBITaxon_10029]
Area frontalis intermedia	[birnlex_1739, UBERON_0013539]
segmenta lumbalia medullae spinalis [1-5]	[birnlex_1704, UBERON_0002792]
 signal transduction resulting in cell cycle arrest	[GO_2000002, GO_2000003, GO_0000077, GO_2000001]
lobule IV of cerebellum vermis	[UBERON_0004077, nlx_anat_20081227]
SNOMEDCT 116250002 	[NEMO_7699000, NEMO_3603000]
planned_comparison	[NEMO_1576000, NEMO_0561000, NEMO_6454000, NEMO_6640000]
sulcus limitans	[UBERON_0009573, UBERON_0005478]
ADORA2B	[nifext_6027, PR_000001577]
ADORA2A	[nifext_7729, PR_000001576]
midbrain medial lemniscus	[UBERON_0002658, birnlex_1296]
threonine deaminase	[PR_000024038, PR_000023001]
Unspecified peripheral retinal degeneration (disorder)	[birnlex_12806, DOID_12161]
Pongidae	[birnlex_110, NCBITaxon_314295, birnlex_529]
prevacuolar compartment	[GO_0005770, nlx_subcell_20090702]
chordamesoderm	[UBERON_0003068, UBERON_0006268]
cerebrocerebellum	[UBERON_0004002, UBERON_0014644, birnlex_911]
Ebi2	[nifext_7192, nifext_7189]
Cerebrovascular accident (disorder) [Ambiguous]	[birnlex_12783, DOID_3455]
gyrus occipitotemporalis medialis	[UBERON_0002943, birnlex_740]
MAST1	[PR_000005520, PR_000010195]
Cranial nerve V	[UBERON_0001645, birnlex_869]
CCNC1	[PR_000000696, nifext_3044]
neuraxis culmen	[UBERON_0007763, birnlex_926]
gerbils	[nlx_organ_20090401, NCBITaxon_10045]
Sonography	[birnlex_2482, ERO_0001325]
resistance	[NEMO_4603000, PATO_0001046]
rostral intralaminar nuclei	[UBERON_0002965, birnlex_794]
4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	[GO_0050585, GO_0018490]
post-traumatic stress disorder	[birnlex_12679, DOID_2055]
neuronal cell soma	[GO_0043025, sao1044911821]
entorhinal cortex	[birnlex_2705, UBERON_0002895, birnlex_1508, UBERON_0002728, birnlex_2709]
Area subgenualis	[UBERON_0013556, birnlex_1756]
bird	[birnlex_142, NCBITaxon_8782]
 prefrontal	[UBERON_0013543, birnlex_1743]
right hemisphere	[UBERON_0002813, birnlex_1797]
retrorubal field	[UBERON_0011172, nlx_anat_20090301]
sulcus frontalis inferior	[birnlex_1619, UBERON_0002761]
Rathke Pouch Tumor	[birnlex_12613, DOID_3840]
parasubicular area	[UBERON_0004683, nlx_anat_091002]
cavity	[birnlex_1011, UBERON_0002553]
ARP11	[PR_000004307, PR_000003692]
olfactory lobe	[UBERON_0002264, birnlex_1137]
subependymal plate	[UBERON_0004922, nlx_144262]
ventral brain stem	[UBERON_0002691, birnlex_1415]
neuroma	[DOID_2001, birnlex_12610]
climbing fibre	[GO_0044301, nlx_subcell_20090203]
nucleus mesencephalicus nervi trigemini	[UBERON_0002925, nifext_11]
psalterial cord	[UBERON_0002282, birnlex_2525]
 glutamatergic	[GO_0051967, GO_0051968]
ventral external arcuate fiber bundle	[birnlex_1628, UBERON_0006097]
central part of trochlear nerve	[UBERON_0002618, birnlex_1172]
Insular cortex	[birnlex_1117, UBERON_0002022]
FBL7	[PR_000007369, PR_000007385]
FBL2	[PR_000027957, PR_000007379]
Isocitric dehydrogenase	[PR_000026164, PR_000026162]
zinc homeostasis	[GO_0006882, GO_0055069]
Papillary Rathke's Pouch tumor	[DOID_3847, birnlex_12615]
vestibulo-spinal tract	[UBERON_0002768, birnlex_1643]
Regional part of nervous system	[birnlex_1157, UBERON_0000073]
pons of varolius medial longitudinal fasciculus	[UBERON_0002794, birnlex_1708]
obscurus raphe nucleus	[UBERON_0002684, birnlex_1369]
 producing 5' phosphomonoesters	[GO_0016896, GO_0016888]
CN-IX	[birnlex_899, UBERON_0001649]
superior frontal convolution	[birnlex_1303, UBERON_0002661]
type II intermediate filament associated protein	[GO_0005882, sao952483289]
magnocellular part of dorsomedial nucleus	[birnlex_1262, UBERON_0002647]
Sacral spinal cord anterior commissure	[birnlex_1528, UBERON_0007835]
genital development	[GO_0007484, GO_0048806]
Golgi vesicle	[sao819927218, GO_0005798, sao138219748]
Muscarinic cholinergic receptor	[sao2062447305, PR_000001488]
L1 segment	[UBERON_0006448, birnlex_1336]
root of abducens nerve	[birnlex_1689, UBERON_0002786]
GZMB/iso:1/UnMod	[PR_000003501, PR_000003498]
area 31 of Brodmann-1909	[UBERON_0006475, birnlex_1765]
 meta-cleavage	[GO_0019617, GO_0019616]
NCC-2	[PR_000001986, nifext_5044]
neocortex multiform layer	[UBERON_0005395, nlx_anat_090812]
neurotrophin	[GO_0005163, GO_0005165]
seventh cervical spinal cord segment	[UBERON_0006493, birnlex_773]
ventral trigeminothalamic tract	[UBERON_0002549, birnlex_1001]
Maternity blues (disorder)	[DOID_9478, birnlex_12757]
tuba uterina	[UBERON_0003889, UBERON_0000993]
between brain	[UBERON_0001894, birnlex_1503]
threonine tRNA	[GO_0033440, GO_0033439, GO_0033438]
3-galactosyltransferase activity	[GO_0008918, GO_0047240]
gliosarcoma	[DOID_3071, birnlex_12625]
 GABAergic	[GO_0032230, GO_0032229]
basal nuclei of the forebrain	[birnlex_1629, UBERON_0006098]
GPR82	[PR_000001538, nifext_5456]
GPR88	[PR_000001541, nifext_6143]
GPR62	[PR_000001536, nifext_5379]
GPR65	[PR_000001665, nifext_6472]
GPR68	[nifext_8031, PR_000001675]
GPR75	[nifext_5472, PR_000001537]
GPR78	[nifext_5324, PR_000001648]
GPR77	[nifext_6247, PR_000001174]
nucleus accumbens shell	[UBERON_0012171, nlx_anat_20090307]
GPR41	[nifext_7510, PR_000001584]
GPR55	[PR_000001534, nifext_5374]
GPR52	[PR_000001646, nifext_5319]
GPR22	[PR_000001523, nifext_5394]
GPR26	[PR_000001641, nifext_5731]
GPR25	[PR_000001524, nifext_6176]
GPR20	[nifext_5980, PR_000001521]
eleventh thoracic dorsal root ganglion	[UBERON_0002854, birnlex_2621]
voltage-gated potassium channel subunit Kv3.4	[nifext_2731, PR_000000783]
GPR33	[nifext_7360, PR_000001529]
GPR32	[PR_000001528, nifext_5370]
GPR35	[PR_000001531, nifext_5555]
GPR34	[PR_000001530, nifext_5529]
nephron epithelium formation	[GO_0072035, GO_0072033]
GPR39	[PR_000001532, nifext_5420]
corpus trapezoideum	[UBERON_0002932, birnlex_707]
GPR31	[nifext_7067, PR_000001527]
nuclei metathalami	[birnlex_1461, UBERON_0002704]
GPR19	[PR_000001520, nifext_6452]
pulvinar thalami	[UBERON_0002981, birnlex_824]
GPR10	[PR_000001546, nifext_7819]
GPR12	[PR_000001636, nifext_7426]
riMLF	[UBERON_0002717, birnlex_1481]
laterality_axis	[NEMO_8843000, NEMO_7078000]
dopamine D2 receptor	[nifext_5843, PR_000001177]
3-glucan anabolism	[GO_0070600, GO_0070598]
glandula pituitaria	[UBERON_0000007, birnlex_1353]
pretectal area nucleus	[birnlex_864, UBERON_0002994]
Complex Partial Seizure Disorder	[birnlex_12729, DOID_3331]
GlyRS	[PR_000007846, PR_000022818]
Sulcus postcentralis inferior	[birnlex_4032, UBERON_0002914]
RUMT	[GO_0030698, GO_0030696]
(S)-selective hydroxynitrile lyase activity	[GO_0052891, GO_0052892]
predorsal fasciculus	[birnlex_1590, UBERON_0002754]
Organismal object	[nlx_organ_110506, birnlex_2]
proline-rich protein 5	[PR_000015299, PR_000013271]
nucleus reticularis thalami	[UBERON_0001903, birnlex_1721]
 lead-efflux ATPase activity	[GO_0015662, GO_0015086, GO_0015099, GO_0005385, GO_0015094]
lobe of cerebellum	[UBERON_0005293, birnlex_1076]
cognition	[NEMO_6688000, NEMO_1036000, NEMO_8992000, NEMO_2869000, NEMO_1518000, NEMO_8705000, NEMO_6301000, NEMO_0715000, NEMO_5853000, NEMO_6940000]
hippocampus major	[birnlex_721, UBERON_0001954]
 ncRNA-mediated	[GO_0040033, GO_0045975]
cell nucleus	[GO_0005634, sao1702920020]
receptor ligand activity	[GO_0048019, GO_0048018]
embryogenesis	[GO_0009790, GO_0009792, UBERON_0000068, GO_0009793]
nucleus Staderini	[birnlex_2654, UBERON_0002876, birnlex_2651]
leucine/isoleucine/valine porter activity	[GO_0015425, GO_0005304]
Ribonucleotide reductase small subunit	[PR_000027713, PR_000027717]
agglutination	[GO_0000752, GO_0007157]
nucleus habenularis lateralis	[birnlex_1438, UBERON_0001941]
tadpole stage	[UBERON_0004728, UBERON_0002547]
Adrb3	[nifext_6801, nifext_6798]
pontine reticular nucleus	[UBERON_0002573, birnlex_1050]
manganese homeostasis	[GO_0055071, GO_0030026]
septin assembly and septum formation	[GO_0000921, GO_0000918]
MDC(1-69)	[PR_000001994, nifext_5050]
spinothalamic tract	[UBERON_0002944, birnlex_741]
Extrapontine Myelinoclasis	[DOID_636, birnlex_12552]
 malignant (morphologic abnormality)	[DOID_5758, DOID_5208, DOID_4489, DOID_3284, DOID_0001816]
first sacral spinal ganglion	[UBERON_0002860, birnlex_2628]
lateral fillet	[birnlex_976, UBERON_0002953]
Golgi component	[sao1546288504, GO_0044431, sao624292949]
male genital morphogenesis	[GO_0048808, GO_0048803]
CCR9	[nifext_6371, nifext_6076, nifext_6078]
CCR8	[PR_000001204, nifext_6279, nifext_6277]
CCR7	[nifext_7906, nifext_7908]
CCR6	[nifext_6300, nifext_6302]
CCR5	[nifext_5912, nifext_5914]
CCR4	[nifext_7747, nifext_7749]
CCR3	[nifext_5924, nifext_5922]
CCR2	[nifext_6055, PR_000001199, nifext_6057]
female genital development	[GO_0030540, GO_0007486]
neural lumen	[UBERON_0003842, UBERON_0002291, birnlex_1409]
Boder-Sedgwick syndrome	[birnlex_12649, DOID_12704]
CCR1	[nifext_8019, nifext_8021]
protocol	[birnlex_11010, nlx_res_20090412, OBI_0000272]
Causalgia NOS	[DOID_3222, birnlex_12584]
acyl-activating enzyme	[PR_000003672, PR_000022052]
 REM sleep	[GO_0042322, GO_0046005]
ischiatic nerve	[birnlex_1133, UBERON_0001322]
sulcus praecentralis inferior	[birnlex_1627, UBERON_0002764]
Darkshevich's nucleus	[birnlex_896, UBERON_0002044]
ventriculus diencephali	[UBERON_0002286, birnlex_714]
phosphohexomutase activity	[GO_0004476, GO_0004347]
memory_related_P600	[NEMO_4551000, NEMO_7015000]
Schizophrenic Disorder	[DOID_5419, birnlex_2104]
voltage-gated potassium channel subunit Kv7.4	[nifext_2785, PR_000000731]
cytochrome	[GO_0045154, GO_0045157]
Kolloker-Fuse nucleus	[birnlex_2641, UBERON_0002869]
lumbar spinal cord anterior commissure	[UBERON_0007834, birnlex_1326]
 activation of MAPKK activity	[GO_0000198, GO_0071509]
autophagosome	[GO_0005776, sao8663416959]
voltage-gated potassium channel subunit Kv8.2	[PR_000000726, nifext_2799]
CDRK	[PR_000000723, nifext_2713]
Pick's disease	[DOID_11870, nlx_dys_090801]
central gray matter	[UBERON_0002867, birnlex_2638]
 neurotransmission	[GO_0060096, GO_0061529, GO_0061533]
sodium:dicarboxylate/tricarboxylate symporter activity	[GO_0015142, GO_0005310]
 Child	[DOID_3846, birnlex_12614]
superior salivary nucleus	[UBERON_0002149, birnlex_1131]
membrane-enclosed organelle	[GO_0043227, sao414196390]
pars compacta	[UBERON_0001965, birnlex_990]
Material analysis service resource	[nlx_res_20090424, ERO_0000395]
4-lactone lactonohydrolase activity	[GO_0050033, GO_0050021, GO_0047815]
anterior acoustic stria	[birnlex_991, UBERON_0003046]
short	[PATO_0000574, PATO_0000569]
deep cerebellar nuclei	[UBERON_0002130, birnlex_1568]
regulation of cell cycle transition	[GO_1901993, GO_1901987]
dendrite tuft	[sao1340260079, GO_0044296]
 mevalonate-independent	[GO_0019288, GO_0051483]
voltage-gated potassium channel subunit Kv9.2	[PR_000000799, nifext_2808]
dorsal superficial arcuate fibers	[UBERON_0006089, birnlex_1250]
Scarpas ganglion	[birnlex_2549, UBERON_0002824]
layer IV of piriform cortex	[nlx_anat_091033, UBERON_0014284]
C-fibre	[GO_0044299, nlx_subcell_20090210]
Sulcus calcarinus posterior	[birnlex_4015, UBERON_0002901]
dorsal nucleus of trapezoid body	[UBERON_0009053, birnlex_2575]
pedunculus cerebri	[birnlex_1202, UBERON_0002623]
NADH:oxygen oxidoreductase (2-hydroxylating)	[GO_0018661, GO_0018601]
 other acceptors	[GO_0016638, GO_0016645, GO_0016903, GO_0016667, GO_0016627, GO_0016695, GO_0016675, GO_0016725, GO_0016661, GO_0016614, GO_0016679]
third thoracic dorsal root ganglion	[UBERON_0002847, birnlex_2613]
 dopaminergic	[GO_0032227, GO_0032226]
area 41 of Brodmann	[birnlex_1582, UBERON_0006095, birnlex_1774]
protoplast	[GO_0044464, sao340271629, sao628508602]
KGPDC	[GO_0033982, PR_000024178]
 pars oralis	[UBERON_0002978, birnlex_817]
inferior frontal convolution	[birnlex_873, UBERON_0002998]
basilar membrane	[birnlex_2521, UBERON_0002226]
P2RY13	[PR_000001570, nifext_7842]
P2RY11	[nifext_5314, PR_000001436]
Postvaccinal Encephalitis	[birnlex_12511, DOID_13664]
posterior tegmental decussation	[UBERON_0003009, birnlex_901]
nucleus olivaris superior	[UBERON_0002128, birnlex_1307]
CA2 part of stratum pyramidale hippocampi	[UBERON_0014549, birnlex_4111]
ether-a-go-go-like potassium channel 2	[PR_000000792, nifext_2844]
nuclei anterior thalami	[UBERON_0002788, birnlex_1692]
centre of macula	[birnlex_2543, UBERON_0001786]
 X-linked	[PR_000026090, PR_000010976]
inferior parietal lobule (krieg)	[UBERON_0002688, birnlex_1381]
nucleus habenularis medialis epithalami	[birnlex_1431, UBERON_0001942]
 coupling factor CF(0)	[GO_0045263, GO_0033175]
capillary vessel	[nlx_anat_090902, UBERON_0001982]
medulla medial lemniscus	[birnlex_1570, UBERON_0002748]
raphe pallidus nucleus	[UBERON_0002157, birnlex_1375]
 presubicular	[birnlex_1758, UBERON_0013558]
intercalated nucleus of the amygdala	[birnlex_2683, UBERON_0002884]
CatSper3	[PR_000000671, nifext_3202]
Schwann cell paranodal termination	[GO_0043219, sao-1067215520, sao1354781919]
 and incorporation of one atom of oxygen	[GO_0016713, GO_0016709]
ventral supraoptic commissure (of Meynert)	[UBERON_0002676, birnlex_1347]
retina degeneration	[DOID_8466, birnlex_12799]
vicq d'azyr's bundle	[UBERON_0006696, nlx_anat_1010016]
nucleus of the diagonal band of broca	[UBERON_0001879, birnlex_719]
pre-synaptic active zone	[GO_0048786, sao1911631652]
submedial nucleus thalamus	[UBERON_0003031, birnlex_946]
middle ramus of lateral fissure	[UBERON_0002670, birnlex_1330]
Lewy body disease	[birnlex_12502, DOID_12217]
Cyprinus chapalio	[birnlex_363, NCBITaxon_7955]
first cranial nerve	[UBERON_0001579, birnlex_1319]
Lateral septum	[birnlex_1321, UBERON_0002667]
microtubule of dendrite	[sao110773650, GO_1901588]
posterior longitudinal fasciculus of midbrain	[UBERON_0003005, birnlex_893]
segment of epithalamus	[UBERON_0002757, birnlex_1607]
GZMB/SigPep-	[PR_000026712, PR_000026610]
high affinity Fc receptor activity	[GO_0019768, GO_0019771]
sulcus intralingualis	[UBERON_0002905, birnlex_4019]
anterodorsal thalamic nucleus	[birnlex_1358, UBERON_0002679]
neuraxis cavity	[birnlex_1029, UBERON_0002561]
B09-8a	[birnlex_1762, UBERON_0013562]
http://purl.org/obo/owl/PATO#PATO_0002202	[NEMO_5090000, NEMO_9944000, NEMO_5344000]
Macular degeneration (disorder)	[DOID_4448, birnlex_12811]
B09-40	[UBERON_0013573, birnlex_1773]
B09-39	[birnlex_1772, UBERON_0006480]
B09-38	[UBERON_0006479, birnlex_1771]
B09-28	[birnlex_1759, UBERON_0013559]
SNAP	[PR_000015312, GO_0005483]
 F1 sector	[GO_0045262, GO_0045261, GO_0000275]
B09-47	[UBERON_0006484, birnlex_1779]
cytidine aminohydrolase	[PR_000005180, PR_000003864]
Scanning electron microscopy	[nlx_82779, ERO_0000330]
clathrin cage	[GO_0030118, sao879919129]
prosencephalon	[birnlex_1509, UBERON_0001890]
medullary raphe nuclear complex segment	[birnlex_1349, UBERON_0002677]
branchial arch	[UBERON_0008896, UBERON_0002539]
operculum	[UBERON_2000555, UBERON_0010262]
Ccl21b	[PR_000001993, nifext_5049]
VIIIth cranial nerve	[UBERON_0001648, birnlex_890]
Sulcus praecentralis superior	[UBERON_0002566, birnlex_1038]
fibrae corticotectales	[UBERON_0002556, birnlex_1016]
Chrm5	[nifext_7346, nifext_7343]
Chrm1	[nifext_7353, nifext_7356]
Chrm2	[nifext_7957, nifext_7954]
lactose/glucose efflux transporter activity	[GO_0005355, GO_0015155, GO_0015542]
neuraxis stratum	[UBERON_0002801, birnlex_1727]
liquor cerebrospinalis	[UBERON_0001359, birnlex_1798]
segment of vestibular nuclear complex	[UBERON_0002584, birnlex_1080]
nucleus pulvinaris inferior thalami	[UBERON_0002982, birnlex_830]
tryptophan--tRNA ligase	[PR_000017369, PR_000024125]
lumbar segment of gracile fasciculus of spinal cord	[UBERON_0005842, birnlex_834]
Myopathy	[birnlex_12779, DOID_423]
prion induced disorder	[birnlex_12686, DOID_649]
area 35 of Brodmann-1909	[NEMO_3972000, UBERON_0006102, birnlex_1768]
SPBP	[PR_000003431, PR_000023570]
mesaxon of Schwann cell	[GO_0097453, sao2127666702]
kinase-related transforming protein	[PR_000003270, PR_000000019]
freezing tolerance	[GO_0009409, GO_0033637]
alanine tRNA	[GO_0033454, GO_0033456, GO_0033455]
ventral tegmental nucleus (gudden)	[UBERON_0002438, birnlex_1421]
PNS - somatic	[nlx_anat_100301, UBERON_0000012]
pars centralis ventriculi lateralis	[UBERON_0002655, birnlex_1287]
nucleus centralis medialis	[UBERON_0001923, birnlex_971]
medulla medial longitudinal fasciculus	[birnlex_1574, UBERON_0002750]
balance organ	[UBERON_0006585, birnlex_2519]
nucleus ventralis thalami anterior	[birnlex_1232, UBERON_0002637]
